competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2017,59,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Renato Caja,15' (1ºT),15.0
Brasileirao,2017,59,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Lucca,25' (1ºT),25.0
Brasileirao,2017,59,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Naldo,15' (2ºT),60.0
Brasileirao,2017,59,Moisés Lucarelli,visitante,CHAPECOENSE - SC,pro,Osman Junior,26' (2ºT),71.0
Brasileirao,2017,59,Moisés Lucarelli,visitante,CHAPECOENSE - SC,pro,Rossi,27' (2ºT),72.0
Brasileirao,2017,60,Ressacada,mandante,AVAI - SC,pro,Romulo,11' (2ºT),56.0
Brasileirao,2017,60,Ressacada,visitante,FLAMENGO - RJ,pro,Leandro Damiao,15' (2ºT),60.0
Brasileirao,2017,61,Maracanã,visitante,GREMIO - RS,pro,Edilson,7' (1ºT),7.0
Brasileirao,2017,61,Maracanã,visitante,GREMIO - RS,pro,Luan,34' (2ºT),79.0
Brasileirao,2017,62,Luso Brasileiro,mandante,FLAMENGO - RJ,pro,Rever,45+2' (1ºT),45.5
Brasileirao,2017,62,Luso Brasileiro,mandante,FLAMENGO - RJ,pro,Leandro Damiao,14' (2ºT),59.0
Brasileirao,2017,63,Vila Belmiro,mandante,SANTOS - SP,pro,Kayke,6' (2ºT),51.0
Brasileirao,2017,64,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Balbuena,42' (1ºT),42.0
Brasileirao,2017,65,Independência,visitante,ATLETICO - PR,pro,Sidcley,45' (2ºT),90.0
Brasileirao,2017,68,Manoel Barradas,visitante,BOTAFOGO - RJ,pro,Bruno Silva,30' (1ºT),30.0
Brasileirao,2017,68,Manoel Barradas,visitante,BOTAFOGO - RJ,pro,Bruno Silva,41' (1ºT),41.0
Brasileirao,2017,68,Manoel Barradas,mandante,VITORIA - BA,pro,Gabriel Xavier,4' (2ºT),49.0
Brasileirao,2017,68,Manoel Barradas,mandante,VITORIA - BA,pro,Kieza,30' (2ºT),75.0
Brasileirao,2017,69,Olímpico Pedro Ludovico,mandante,ATLETICO - GO,pro,Jorginho,17' (1ºT),17.0
Brasileirao,2017,69,Olímpico Pedro Ludovico,visitante,AVAI - SC,pro,Juan,25' (1ºT),25.0
Brasileirao,2017,69,Olímpico Pedro Ludovico,mandante,ATLETICO - GO,pro,Everaldo,45+2' (1ºT),45.5
Brasileirao,2017,69,Olímpico Pedro Ludovico,mandante,ATLETICO - GO,pro,Everaldo,45+1' (2ºT),90.5
Brasileirao,2017,70,Arena Condá,mandante,CHAPECOENSE - SC,pro,Andrei,28' (1ºT),28.0
Brasileirao,2017,70,Arena Condá,visitante,VASCO DA GAMA - RJ,pro,Jean,41' (1ºT),41.0
Brasileirao,2017,70,Arena Condá,mandante,CHAPECOENSE - SC,pro,Arthur Caike,15' (2ºT),60.0
Brasileirao,2017,71,Maracanã,mandante,FLUMINENSE - RJ,pro,Wendel,36' (1ºT),36.0
Brasileirao,2017,71,Maracanã,visitante,FLAMENGO - RJ,pro,Diego,10' (2ºT),55.0
Brasileirao,2017,71,Maracanã,mandante,FLUMINENSE - RJ,pro,Henrique Dourado,35' (2ºT),80.0
Brasileirao,2017,71,Maracanã,visitante,FLAMENGO - RJ,pro,Trauco,45+4' (2ºT),90.5
Brasileirao,2017,72,São Januário,mandante,VASCO DA GAMA - RJ,pro,Yago,20' (1ºT),20.0
